label,eigen_ratio,rot_corr
1,0.79843014,0.71714497
1,0.80478424,0.39725724
1,0.7885944,0.37670884
1,0.72907674,0.50531405
1,0.9237915,0.6893804
1,0.8387741,0.76410264
1,0.8246709,0.55226004
1,0.79998034,0.75127655
1,0.9723725,0.74611074
1,0.6562728,0.22476192
1,0.754136,0.5651035
1,0.8230108,0.5580302
1,0.7914504,0.80611855
1,0.72258675,0.5180551
1,0.8490124,0.7459197
1,0.5751992,0.6201779
1,0.97441745,0.7439206
1,0.71296096,-0.05344514
1,0.7951099,0.22861163
1,0.731249,0.72034806
1,0.9343226,0.40121785
1,0.7263264,0.32319078
1,0.7845396,0.03337843
1,0.8597857,0.5389754
1,0.9712115,0.5851438
1,0.8210429,0.6594297
1,0.8452089,0.32645118
1,0.82248896,0.18943022
1,0.5873128,0.3682836
1,0.7022836,0.40529466
1,0.89891857,0.6051807
1,0.74649864,0.22489895
1,0.7843698,0.777406
1,0.6852691,0.744637
1,0.71123207,-0.006179745
1,0.62433475,0.6965596
1,0.6817049,-0.24630821
1,0.7170263,0.76093894
1,0.78156555,0.82739526
1,0.66825545,0.7957954
1,0.91405326,0.7977309
1,0.5962998,0.44298434
1,0.8896586,0.7927014
1,0.67808896,0.36471316
1,0.72505516,0.14420399
1,0.6402109,0.6567271
1,0.8278053,0.5497458
1,0.81351584,0.33116397
1,0.73007095,0.08953321
1,0.904738,0.80212384
1,0.8780154,0.7823389
1,0.7757309,0.5425856
1,0.8829414,0.050308228
1,0.80963117,0.62335676
1,0.6436413,0.38505134
1,0.9399628,0.8598475
1,0.5340053,0.4464958
1,0.82467777,0.45042983
1,0.6962111,0.90004086
1,0.6501429,0.6259913
1,0.9249223,0.50626945
1,0.7381922,0.31924167
1,0.59087545,0.6445008
1,0.67665386,0.62019104
1,0.5893915,0.5283928
1,0.78793216,0.39149475
1,0.7484979,0.79173607
1,0.7015739,-0.061547432
1,0.7201119,0.68014055
1,0.8131792,0.41170692
1,0.658523,0.4384068
1,0.8930657,0.57713777
1,0.66676724,-0.23407446
1,0.81655806,-0.15043502
1,0.9693075,0.8564133
1,0.6771,-0.14128238
1,0.8265916,0.6941867
1,0.53983754,0.61613595
1,0.8945607,0.493191
1,0.8719011,0.45630813
1,0.9042096,-0.09106263
1,0.86384034,0.72434396
1,0.8454573,0.6705758
1,0.9240519,0.59492403
1,0.8376082,0.4448198
1,0.8206563,-0.024894064
1,0.71325433,0.1746227
1,0.83909535,0.7157741
1,0.87368983,0.6966803
1,0.79765064,0.7984228
1,0.7856964,0.43958667
1,0.5588418,0.6061774
1,0.6687899,0.039074894
1,0.9088795,0.7077739
1,0.80322915,0.28115052
1,0.7465345,0.79939413
1,0.8246353,0.7007353
1,0.84521085,0.5813394
1,0.66603696,0.75704926
1,0.6530007,0.24272697
1,0.9014578,0.8392241
1,0.8436907,0.8344225
1,0.5812611,0.57439774
1,0.6626868,0.6749765
1,0.77708197,-0.06875038
1,0.64543074,0.6609253
1,0.7934783,-0.14654545
1,0.9498153,0.8505694
1,0.8341756,0.4740971
1,0.9623815,0.7763979
1,0.8360131,0.769814
1,0.79528815,0.6240086
1,0.74463254,0.80734825
1,0.80218285,0.22110541
1,0.7049387,0.03705044
1,0.83942944,0.6941349
1,0.7398814,0.7454749
1,0.7544359,-0.19589476
1,0.46650898,0.016957536
1,0.7565439,0.18326576
1,0.6738542,0.72467
0,0.8471471,-0.17823969
0,0.8190766,0.78930306
0,0.8104798,0.7799644
0,0.9624212,0.7655032
0,0.952849,0.4964447
0,0.6614664,0.021870011
0,0.9367032,0.765302
0,0.64677054,-0.26992622
0,0.7735036,0.448805
0,0.77623385,0.7587664
0,0.5186291,0.6214283
0,0.6568678,0.6949601
0,0.59727645,0.1479054
0,0.56117797,0.7910123
0,0.84642345,0.19668774
0,0.9154839,0.7807974
0,0.82357883,0.78228885
0,0.91034365,0.7454154
0,0.3298745,0.50181353
0,0.77893096,0.7536984
0,0.85500586,0.82076246
0,0.7298926,-0.12494225
0,0.89806956,0.0332025
0,0.56264466,0.6332564
0,0.66552776,0.07712994
0,0.7178349,0.2962678
0,0.67498964,0.10781654
0,0.87605613,0.7356884
0,0.8226983,0.78290004
0,0.84481496,0.73217154
0,0.6424214,-0.14359802
0,0.4996085,0.5767061
0,0.7123894,0.78237647
0,0.7572072,0.7292482
0,0.576954,0.7320304
0,0.75634336,0.7919312
0,0.7283588,0.039472375
0,0.67725354,0.16964094
0,0.7234056,0.3981671
0,0.7186863,0.7543821
0,0.8685132,0.7116153
0,0.87132245,0.783878
0,0.7220427,-0.008247606
0,0.790713,0.73934215
0,0.9789372,0.86372393
0,0.68734914,0.22858925
0,0.8457237,0.7670536
0,0.7893472,0.32104194
0,0.6264759,0.2568963
0,0.8507484,0.4731532
0,0.7260258,0.13637787
0,0.74101436,0.30407372
0,0.6452552,0.4134016
0,0.68882024,0.47396693
0,0.7406729,0.44404253
0,0.76531374,0.73532516
0,0.7730568,0.7405689
0,0.74894094,0.727712
0,0.55205417,0.7360935
0,0.30882755,0.43016982
0,0.90360314,0.77528256
0,0.7124828,0.71757096
0,0.74863005,0.80014366
0,0.8451888,0.79935217
0,0.725068,0.7559628
0,0.70331866,0.29411253
0,0.65553284,-0.055807944
0,0.87413704,0.7143722
0,0.48748013,-0.13639416
0,0.47057286,0.53425467
0,0.74572355,0.7470003
0,0.8947419,0.7215609
0,0.77159286,0.21370375
0,0.6937748,0.71710867
0,0.6636186,0.3914144
0,0.90888685,0.7430029
0,0.4855596,0.43380484
0,0.5935948,0.70127684
0,0.7432933,0.1793908
0,0.78002685,0.81547046
0,0.7432218,0.7707483
0,0.7449901,0.7337625
0,0.8829244,0.76365834
1,0.75498646,0.55167085
1,0.6712812,0.54301196
1,0.98666996,0.49401608
1,0.9569955,0.35913396
1,0.46953171,-0.043392718
1,0.5392742,-0.101290464
1,0.82308054,-0.051775068
1,0.9770591,0.76252526
1,0.7514259,0.8257838
1,0.7093092,0.6144833
1,0.64134455,0.43110594
1,0.7253287,0.551786
1,0.78407586,0.6146712
1,0.9030714,0.92661434
1,0.6573922,0.7353874
1,0.8571365,0.6011722
1,0.72521424,0.22673512
1,0.89122194,0.2737074
1,0.7389253,0.64737606
1,0.64052075,0.3873438
1,0.6648507,0.47928798
1,0.6738343,0.5457421
1,0.82434297,0.46486643
1,0.66448665,0.47198853
1,0.88857013,0.719512
1,0.59301305,0.35865024
1,0.9499649,0.31341046
1,0.93579346,0.6422768
1,0.8767576,0.6534576
1,0.56642044,0.47968426
1,0.77943146,0.61079085
1,0.60761636,0.5353133
1,0.8645007,0.47975287
1,0.7068852,0.43172812
1,0.5520893,0.6347678
1,0.49709353,0.6283663
1,0.587788,0.44384983
1,0.84053063,-0.092410274
1,0.79445046,0.41832748
1,0.83456284,0.62147313
1,0.73051393,0.31206036
1,0.81104,0.80713195
1,0.7905898,0.29939893
1,0.5975742,0.12777866
0,0.8203402,0.65019614
0,0.8038986,0.6405673
0,0.8317859,0.044003237
0,0.87210333,0.8700924
0,0.6860887,0.5797744
0,0.6794687,0.40767375
0,0.53326404,0.5830945
0,0.7674395,0.6919593
0,0.72801006,0.46567073
0,0.9222074,0.6512763
0,0.7694899,0.67767024
0,0.9206339,0.64455384
0,0.8143683,0.8710415
0,0.64489,0.24040061
0,0.6365736,0.6226564
